	chromosome_name	external_gene_name	description	gene_biotype
C1QTNF6	22	C1QTNF6	C1q and TNF related 6 [Source:HGNC Symbol;Acc:HGNC:14343]	protein_coding
C1QTNF7	4	C1QTNF7	C1q and TNF related 7 [Source:HGNC Symbol;Acc:HGNC:14342]	protein_coding
C1QTNF8	16	C1QTNF8	C1q and TNF related 8 [Source:HGNC Symbol;Acc:HGNC:31374]	protein_coding
C1QTNF9	13	C1QTNF9	C1q and TNF related 9 [Source:HGNC Symbol;Acc:HGNC:28732]	protein_coding
C1R	12	C1R	complement C1r [Source:HGNC Symbol;Acc:HGNC:1246]	protein_coding
C1RL	12	C1RL	complement C1r subcomponent like [Source:HGNC Symbol;Acc:HGNC:21265]	protein_coding
C1S	12	C1S	complement C1s [Source:HGNC Symbol;Acc:HGNC:1247]	protein_coding
GID8	20	GID8	GID complex subunit 8 homolog [Source:HGNC Symbol;Acc:HGNC:15857]	protein_coding
OCSTAMP	20	OCSTAMP	osteoclast stimulatory transmembrane protein [Source:HGNC Symbol;Acc:HGNC:16116]	protein_coding
C20orf141	20	C20orf141	chromosome 20 open reading frame 141 [Source:HGNC Symbol;Acc:HGNC:16134]	protein_coding
C20orf144	20	C20orf144	chromosome 20 open reading frame 144 [Source:HGNC Symbol;Acc:HGNC:16137]	protein_coding
C20orf173	20	C20orf173	chromosome 20 open reading frame 173 [Source:HGNC Symbol;Acc:HGNC:16166]	protein_coding
FAM217B	20	FAM217B	family with sequence similarity 217 member B [Source:HGNC Symbol;Acc:HGNC:16170]	protein_coding
MRGBP	20	MRGBP	MRG domain binding protein [Source:HGNC Symbol;Acc:HGNC:15866]	protein_coding
C20orf202	20	C20orf202	chromosome 20 open reading frame 202 [Source:HGNC Symbol;Acc:HGNC:37254]	protein_coding
C20orf203	20	C20orf203	chromosome 20 open reading frame 203 [Source:HGNC Symbol;Acc:HGNC:26592]	protein_coding
C20orf27	20	C20orf27	chromosome 20 open reading frame 27 [Source:HGNC Symbol;Acc:HGNC:15873]	protein_coding
AP5S1	20	AP5S1	adaptor related protein complex 5 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:15875]	protein_coding
APMAP	20	APMAP	adipocyte plasma membrane associated protein [Source:HGNC Symbol;Acc:HGNC:13238]	protein_coding
TMEM230	20	TMEM230	transmembrane protein 230 [Source:HGNC Symbol;Acc:HGNC:15876]	protein_coding
AAR2	20	AAR2	AAR2 splicing factor [Source:HGNC Symbol;Acc:HGNC:15886]	protein_coding
SLC52A3	20	SLC52A3	solute carrier family 52 member 3 [Source:HGNC Symbol;Acc:HGNC:16187]	protein_coding
NDUFAF5	20	NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5 [Source:HGNC Symbol;Acc:HGNC:15899]	protein_coding
SCP2D1	20	SCP2D1	SCP2 sterol binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16211]	protein_coding
C20orf85	20	C20orf85	chromosome 20 open reading frame 85 [Source:HGNC Symbol;Acc:HGNC:16216]	protein_coding
C20orf96	20	C20orf96	chromosome 20 open reading frame 96 [Source:HGNC Symbol;Acc:HGNC:16227]	protein_coding
C21orf58	21	C21orf58	chromosome 21 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:1300]	protein_coding
C21orf62	21	C21orf62	chromosome 21 open reading frame 62 [Source:HGNC Symbol;Acc:HGNC:1305]	protein_coding
C21orf91	21	C21orf91	chromosome 21 open reading frame 91 [Source:HGNC Symbol;Acc:HGNC:16459]	protein_coding
C22orf15	22	C22orf15	chromosome 22 open reading frame 15 [Source:HGNC Symbol;Acc:HGNC:15558]	protein_coding
C22orf23	22	C22orf23	chromosome 22 open reading frame 23 [Source:HGNC Symbol;Acc:HGNC:18589]	protein_coding
C22orf31	22	C22orf31	chromosome 22 open reading frame 31 [Source:HGNC Symbol;Acc:HGNC:26931]	protein_coding
TEX33	22	TEX33	testis expressed 33 [Source:HGNC Symbol;Acc:HGNC:28568]	protein_coding
C22orf39	22	C22orf39	chromosome 22 open reading frame 39 [Source:HGNC Symbol;Acc:HGNC:27012]	protein_coding
CDPF1	22	CDPF1	cysteine rich DPF motif domain containing 1 [Source:HGNC Symbol;Acc:HGNC:33710]	protein_coding
C22orf42	22	C22orf42	chromosome 22 open reading frame 42 [Source:HGNC Symbol;Acc:HGNC:27160]	protein_coding
ADORA2A-AS1	22	ADORA2A-AS1	ADORA2A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:37122]	lncRNA
C22orf46	22	C22orf46	chromosome 22 putative open reading frame 46 [Source:HGNC Symbol;Acc:HGNC:26294]	transcribed_unitary_pseudogene
C2CD2	21	C2CD2	C2 calcium dependent domain containing 2 [Source:HGNC Symbol;Acc:HGNC:1266]	protein_coding
C2CD2L	11	C2CD2L	C2CD2 like [Source:HGNC Symbol;Acc:HGNC:29000]	protein_coding
C2CD3	11	C2CD3	C2 domain containing 3 centriole elongation regulator [Source:HGNC Symbol;Acc:HGNC:24564]	protein_coding
C2CD4A	15	C2CD4A	C2 calcium dependent domain containing 4A [Source:HGNC Symbol;Acc:HGNC:33627]	protein_coding
C2CD4B	15	C2CD4B	C2 calcium dependent domain containing 4B [Source:HGNC Symbol;Acc:HGNC:33628]	protein_coding
C2CD4C	19	C2CD4C	C2 calcium dependent domain containing 4C [Source:HGNC Symbol;Acc:HGNC:29417]	protein_coding
C2CD4D	1	C2CD4D	C2 calcium dependent domain containing 4D [Source:HGNC Symbol;Acc:HGNC:37210]	protein_coding
C2orf15	2	C2orf15	chromosome 2 open reading frame 15 [Source:HGNC Symbol;Acc:HGNC:28436]	protein_coding
C2orf27A	2	C2orf27A	chromosome 2 open reading frame 27A [Source:HGNC Symbol;Acc:HGNC:25077]	lncRNA
ATRAID	2	ATRAID	all-trans retinoic acid induced differentiation factor [Source:HGNC Symbol;Acc:HGNC:24090]	protein_coding
C2orf42	2	C2orf42	chromosome 2 open reading frame 42 [Source:HGNC Symbol;Acc:HGNC:26056]	protein_coding
C2orf49	2	C2orf49	chromosome 2 open reading frame 49 [Source:HGNC Symbol;Acc:HGNC:28772]	protein_coding
C2orf50	2	C2orf50	chromosome 2 open reading frame 50 [Source:HGNC Symbol;Acc:HGNC:26324]	protein_coding
TEX37	2	TEX37	testis expressed 37 [Source:HGNC Symbol;Acc:HGNC:26341]	protein_coding
NDUFAF7	2	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]	protein_coding
CLHC1	2	CLHC1	clathrin heavy chain linker domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26453]	protein_coding
C2orf66	2	C2orf66	chromosome 2 open reading frame 66 [Source:HGNC Symbol;Acc:HGNC:33809]	protein_coding
KANSL1L	2	KANSL1L	KAT8 regulatory NSL complex subunit 1 like [Source:HGNC Symbol;Acc:HGNC:26310]	protein_coding
C2orf68	2	C2orf68	chromosome 2 open reading frame 68 [Source:HGNC Symbol;Acc:HGNC:34353]	protein_coding
C2orf69	2	C2orf69	chromosome 2 open reading frame 69 [Source:HGNC Symbol;Acc:HGNC:26799]	protein_coding
C2orf72	2	C2orf72	chromosome 2 open reading frame 72 [Source:HGNC Symbol;Acc:HGNC:27418]	protein_coding
C2orf73	2	C2orf73	chromosome 2 open reading frame 73 [Source:HGNC Symbol;Acc:HGNC:26861]	protein_coding
C2orf74	2	C2orf74	chromosome 2 open reading frame 74 [Source:HGNC Symbol;Acc:HGNC:34439]	protein_coding
C2orf76	2	C2orf76	chromosome 2 open reading frame 76 [Source:HGNC Symbol;Acc:HGNC:27017]	protein_coding
C2orf78	2	C2orf78	chromosome 2 open reading frame 78 [Source:HGNC Symbol;Acc:HGNC:34349]	protein_coding
C2orf80	2	C2orf80	chromosome 2 open reading frame 80 [Source:HGNC Symbol;Acc:HGNC:34352]	protein_coding
C2orf81	2	C2orf81	chromosome 2 open reading frame 81 [Source:HGNC Symbol;Acc:HGNC:34350]	protein_coding
C2orf83	2	C2orf83	chromosome 2 open reading frame 83 [Source:HGNC Symbol;Acc:HGNC:25344]	transcribed_unprocessed_pseudogene
FAM228A	2	FAM228A	family with sequence similarity 228 member A [Source:HGNC Symbol;Acc:HGNC:34418]	protein_coding
C2orf88	2	C2orf88	chromosome 2 open reading frame 88 [Source:HGNC Symbol;Acc:HGNC:28191]	protein_coding
TRABD2A	2	TRABD2A	TraB domain containing 2A [Source:HGNC Symbol;Acc:HGNC:27013]	protein_coding
C3	19	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	protein_coding
C3AR1	12	C3AR1	complement C3a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1319]	protein_coding
C3orf14	3	C3orf14	chromosome 3 open reading frame 14 [Source:HGNC Symbol;Acc:HGNC:25024]	protein_coding
C3orf18	3	C3orf18	chromosome 3 open reading frame 18 [Source:HGNC Symbol;Acc:HGNC:24837]	protein_coding
CCDC174	3	CCDC174	coiled-coil domain containing 174 [Source:HGNC Symbol;Acc:HGNC:28033]	protein_coding
C3orf20	3	C3orf20	chromosome 3 open reading frame 20 [Source:HGNC Symbol;Acc:HGNC:25320]	protein_coding
C3orf22	3	C3orf22	chromosome 3 open reading frame 22 [Source:HGNC Symbol;Acc:HGNC:28534]	protein_coding
TCAIM	3	TCAIM	T cell activation inhibitor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:25241]	protein_coding
EFCAB12	3	EFCAB12	EF-hand calcium binding domain 12 [Source:HGNC Symbol;Acc:HGNC:28061]	protein_coding
CMSS1	3	CMSS1	cms1 ribosomal small subunit homolog [Source:HGNC Symbol;Acc:HGNC:28666]	protein_coding
C3orf33	3	C3orf33	chromosome 3 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:26434]	protein_coding
C3orf36	3	C3orf36	chromosome 3 putative open reading frame 36 [Source:HGNC Symbol;Acc:HGNC:26170]	lncRNA
C3orf38	3	C3orf38	chromosome 3 open reading frame 38 [Source:HGNC Symbol;Acc:HGNC:28384]	protein_coding
C3orf49	3	C3orf49	chromosome 3 open reading frame 49 [Source:HGNC Symbol;Acc:HGNC:25190]	protein_coding
C3orf52	3	C3orf52	chromosome 3 open reading frame 52 [Source:HGNC Symbol;Acc:HGNC:26255]	protein_coding
C3orf62	3	C3orf62	chromosome 3 open reading frame 62 [Source:HGNC Symbol;Acc:HGNC:24771]	protein_coding
EOGT	3	EOGT	EGF domain specific O-linked N-acetylglucosamine transferase [Source:HGNC Symbol;Acc:HGNC:28526]	protein_coding
C3orf70	3	C3orf70	chromosome 3 open reading frame 70 [Source:HGNC Symbol;Acc:HGNC:33731]	protein_coding
ARIH2OS	3	ARIH2OS	ARIH2 opposite strand lncRNA [Source:HGNC Symbol;Acc:HGNC:34425]	lncRNA
ELP6	3	ELP6	elongator acetyltransferase complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:25976]	protein_coding
TOPAZ1	3	TOPAZ1	testis and ovary specific TOPAZ 1 [Source:HGNC Symbol;Acc:HGNC:24746]	protein_coding
SMIM4	3	SMIM4	small integral membrane protein 4 [Source:HGNC Symbol;Acc:HGNC:37257]	protein_coding
C3orf80	3	C3orf80	chromosome 3 open reading frame 80 [Source:HGNC Symbol;Acc:HGNC:40048]	protein_coding
C4BPA	1	C4BPA	complement component 4 binding protein alpha [Source:HGNC Symbol;Acc:HGNC:1325]	protein_coding
C4BPB	1	C4BPB	complement component 4 binding protein beta [Source:HGNC Symbol;Acc:HGNC:1328]	protein_coding
C4orf17	4	C4orf17	chromosome 4 open reading frame 17 [Source:HGNC Symbol;Acc:HGNC:25274]	protein_coding
C4orf19	4	C4orf19	chromosome 4 open reading frame 19 [Source:HGNC Symbol;Acc:HGNC:25618]	protein_coding
C4orf3	4	C4orf3	chromosome 4 open reading frame 3 [Source:HGNC Symbol;Acc:HGNC:19225]	protein_coding
C4orf33	4	C4orf33	chromosome 4 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:27025]	protein_coding
C4orf36	4	C4orf36	chromosome 4 open reading frame 36 [Source:HGNC Symbol;Acc:HGNC:28386]	protein_coding
STPG2	4	STPG2	sperm tail PG-rich repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:28712]	protein_coding
WWC2-AS2	4	WWC2-AS2	WWC2 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:26390]	lncRNA
FAM218A	4	FAM218A	family with sequence similarity 218 member A [Source:HGNC Symbol;Acc:HGNC:26466]	lncRNA
TMA16	4	TMA16	translation machinery associated 16 homolog [Source:HGNC Symbol;Acc:HGNC:25638]	protein_coding
MSANTD1	4	MSANTD1	Myb/SANT DNA binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:33741]	protein_coding
C4orf45	4	C4orf45	chromosome 4 open reading frame 45 [Source:HGNC Symbol;Acc:HGNC:26342]	protein_coding
C4orf46	4	C4orf46	chromosome 4 open reading frame 46 [Source:HGNC Symbol;Acc:HGNC:27320]	protein_coding
C4orf47	4	C4orf47	chromosome 4 open reading frame 47 [Source:HGNC Symbol;Acc:HGNC:34346]	protein_coding
C4orf48	4	C4orf48	chromosome 4 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:34437]	protein_coding
MGARP	4	MGARP	mitochondria localized glutamic acid rich protein [Source:HGNC Symbol;Acc:HGNC:29969]	protein_coding
C4orf51	4	C4orf51	chromosome 4 open reading frame 51 [Source:HGNC Symbol;Acc:HGNC:37264]	protein_coding
C5	9	C5	complement C5 [Source:HGNC Symbol;Acc:HGNC:1331]	protein_coding
C5orf15	5	C5orf15	chromosome 5 open reading frame 15 [Source:HGNC Symbol;Acc:HGNC:20656]	protein_coding
C5orf22	5	C5orf22	chromosome 5 open reading frame 22 [Source:HGNC Symbol;Acc:HGNC:25639]	protein_coding
C5orf24	5	C5orf24	chromosome 5 open reading frame 24 [Source:HGNC Symbol;Acc:HGNC:26746]	protein_coding
CYSTM1	5	CYSTM1	cysteine rich transmembrane module containing 1 [Source:HGNC Symbol;Acc:HGNC:30239]	protein_coding
C5orf34	5	C5orf34	chromosome 5 open reading frame 34 [Source:HGNC Symbol;Acc:HGNC:24738]	protein_coding
SETD9	5	SETD9	SET domain containing 9 [Source:HGNC Symbol;Acc:HGNC:28508]	protein_coding
C5orf38	5	C5orf38	chromosome 5 open reading frame 38 [Source:HGNC Symbol;Acc:HGNC:24226]	lncRNA
ANXA2R	5	ANXA2R	annexin A2 receptor [Source:HGNC Symbol;Acc:HGNC:33463]	protein_coding
CREBRF	5	CREBRF	CREB3 regulatory factor [Source:HGNC Symbol;Acc:HGNC:24050]	protein_coding
C5orf46	5	C5orf46	chromosome 5 open reading frame 46 [Source:HGNC Symbol;Acc:HGNC:33768]	protein_coding
C5orf47	5	C5orf47	chromosome 5 open reading frame 47 [Source:HGNC Symbol;Acc:HGNC:27026]	protein_coding
C5orf49	5	C5orf49	chromosome 5 open reading frame 49 [Source:HGNC Symbol;Acc:HGNC:27028]	protein_coding
C5orf52	5	C5orf52	chromosome 5 open reading frame 52 [Source:HGNC Symbol;Acc:HGNC:35121]	protein_coding
C5orf58	5	C5orf58	chromosome 5 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:37272]	protein_coding
C5orf60	5	C5orf60	chromosome 5 open reading frame 60 [Source:HGNC Symbol;Acc:HGNC:27753]	lncRNA
SMIM3	5	SMIM3	small integral membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:30248]	protein_coding
C5orf63	5	C5orf63	chromosome 5 open reading frame 63 [Source:HGNC Symbol;Acc:HGNC:40051]	protein_coding
C5orf64	5	C5orf64	chromosome 5 putative open reading frame 64 [Source:HGNC Symbol;Acc:HGNC:26744]	lncRNA
PROB1	5	PROB1	proline rich basic protein 1 [Source:HGNC Symbol;Acc:HGNC:41906]	protein_coding
C6	5	C6	complement C6 [Source:HGNC Symbol;Acc:HGNC:1339]	protein_coding
ADGB	6	ADGB	androglobin [Source:HGNC Symbol;Acc:HGNC:21212]	protein_coding
ADTRP	6	ADTRP	androgen dependent TFPI regulating protein [Source:HGNC Symbol;Acc:HGNC:21214]	protein_coding
ABRACL	6	ABRACL	ABRA C-terminal like [Source:HGNC Symbol;Acc:HGNC:21230]	protein_coding
C6orf118	6	C6orf118	chromosome 6 open reading frame 118 [Source:HGNC Symbol;Acc:HGNC:21233]	protein_coding
C6orf120	6	C6orf120	chromosome 6 open reading frame 120 [Source:HGNC Symbol;Acc:HGNC:21247]	protein_coding
CLPSL2	6	CLPSL2	colipase like 2 [Source:HGNC Symbol;Acc:HGNC:21250]	protein_coding
CLPSL1	6	CLPSL1	colipase like 1 [Source:HGNC Symbol;Acc:HGNC:21251]	protein_coding
C6orf132	6	C6orf132	chromosome 6 open reading frame 132 [Source:HGNC Symbol;Acc:HGNC:21288]	protein_coding
C6orf136	6	C6orf136	chromosome 6 open reading frame 136 [Source:HGNC Symbol;Acc:HGNC:21301]	protein_coding
PTCHD4	6	PTCHD4	patched domain containing 4 [Source:HGNC Symbol;Acc:HGNC:21345]	protein_coding
C6orf141	6	C6orf141	chromosome 6 open reading frame 141 [Source:HGNC Symbol;Acc:HGNC:21351]	protein_coding
FAM217A	6	FAM217A	family with sequence similarity 217 member A [Source:HGNC Symbol;Acc:HGNC:21362]	protein_coding
C6orf15	6	C6orf15	chromosome 6 open reading frame 15 [Source:HGNC Symbol;Acc:HGNC:13927]	protein_coding
C6orf163	6	C6orf163	chromosome 6 open reading frame 163 [Source:HGNC Symbol;Acc:HGNC:21403]	protein_coding
FAXC	6	FAXC	failed axon connections homolog, metaxin like GST domain containing [Source:HGNC Symbol;Acc:HGNC:20742]	protein_coding
SOGA3	6	SOGA3	SOGA family member 3 [Source:HGNC Symbol;Acc:HGNC:21494]	protein_coding
METTL24	6	METTL24	methyltransferase like 24 [Source:HGNC Symbol;Acc:HGNC:21566]	protein_coding
TMEM244	6	TMEM244	transmembrane protein 244 [Source:HGNC Symbol;Acc:HGNC:21571]	protein_coding
SLC18B1	6	SLC18B1	solute carrier family 18 member B1 [Source:HGNC Symbol;Acc:HGNC:21573]	protein_coding
C6orf201	6	C6orf201	chromosome 6 open reading frame 201 [Source:HGNC Symbol;Acc:HGNC:21620]	transcribed_unitary_pseudogene
LINC00574	6	LINC00574	long intergenic non-protein coding RNA 574 [Source:HGNC Symbol;Acc:HGNC:21598]	lncRNA
KHDC3L	6	KHDC3L	KH domain containing 3 like, subcortical maternal complex member [Source:HGNC Symbol;Acc:HGNC:33699]	protein_coding
C6orf223	6	C6orf223	chromosome 6 open reading frame 223 [Source:HGNC Symbol;Acc:HGNC:28692]	lncRNA
C6orf226	6	C6orf226	chromosome 6 open reading frame 226 [Source:HGNC Symbol;Acc:HGNC:34431]	protein_coding
C6orf47	6	C6orf47	chromosome 6 open reading frame 47 [Source:HGNC Symbol;Acc:HGNC:19076]	protein_coding
C6orf52	6	C6orf52	chromosome 6 open reading frame 52 [Source:HGNC Symbol;Acc:HGNC:20881]	protein_coding
C6orf58	6	C6orf58	chromosome 6 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:20960]	protein_coding
C6orf62	6	C6orf62	chromosome 6 open reading frame 62 [Source:HGNC Symbol;Acc:HGNC:20998]	protein_coding
GINM1	6	GINM1	glycosylated integral membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:21074]	protein_coding
C6orf89	6	C6orf89	chromosome 6 open reading frame 89 [Source:HGNC Symbol;Acc:HGNC:21114]	protein_coding
ZC2HC1B	6	ZC2HC1B	zinc finger C2HC-type containing 1B [Source:HGNC Symbol;Acc:HGNC:21174]	protein_coding
CCDC170	6	CCDC170	coiled-coil domain containing 170 [Source:HGNC Symbol;Acc:HGNC:21177]	protein_coding
C7	5	C7	complement C7 [Source:HGNC Symbol;Acc:HGNC:1346]	protein_coding
MPLKIP	7	MPLKIP	M-phase specific PLK1 interacting protein [Source:HGNC Symbol;Acc:HGNC:16002]	protein_coding
C7orf25	7	C7orf25	chromosome 7 open reading frame 25 [Source:HGNC Symbol;Acc:HGNC:21703]	protein_coding
MALSU1	7	MALSU1	mitochondrial assembly of ribosomal large subunit 1 [Source:HGNC Symbol;Acc:HGNC:21721]	protein_coding
C7orf31	7	C7orf31	chromosome 7 open reading frame 31 [Source:HGNC Symbol;Acc:HGNC:21722]	protein_coding
C7orf33	7	C7orf33	chromosome 7 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:21724]	protein_coding
TMEM248	7	TMEM248	transmembrane protein 248 [Source:HGNC Symbol;Acc:HGNC:25476]	protein_coding
COA1	7	COA1	cytochrome c oxidase assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:21868]	protein_coding
FAM221A	7	FAM221A	family with sequence similarity 221 member A [Source:HGNC Symbol;Acc:HGNC:27977]	protein_coding
C7orf50	7	C7orf50	chromosome 7 open reading frame 50 [Source:HGNC Symbol;Acc:HGNC:22421]	protein_coding
C7orf57	7	C7orf57	chromosome 7 open reading frame 57 [Source:HGNC Symbol;Acc:HGNC:22247]	protein_coding
CPED1	7	CPED1	cadherin like and PC-esterase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26159]	protein_coding
LAMTOR4	7	LAMTOR4	late endosomal/lysosomal adaptor, MAPK and MTOR activator 4 [Source:HGNC Symbol;Acc:HGNC:33772]	protein_coding
FAM220A	7	FAM220A	family with sequence similarity 220 member A [Source:HGNC Symbol;Acc:HGNC:22422]	protein_coding
C8A	1	C8A	complement C8 alpha chain [Source:HGNC Symbol;Acc:HGNC:1352]	protein_coding
C8B	1	C8B	complement C8 beta chain [Source:HGNC Symbol;Acc:HGNC:1353]	protein_coding
C8G	9	C8G	complement C8 gamma chain [Source:HGNC Symbol;Acc:HGNC:1354]	protein_coding
C8orf33	8	C8orf33	chromosome 8 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:26104]	protein_coding
C8orf34	8	C8orf34	chromosome 8 open reading frame 34 [Source:HGNC Symbol;Acc:HGNC:30905]	protein_coding
NDUFAF6	8	NDUFAF6	NADH:ubiquinone oxidoreductase complex assembly factor 6 [Source:HGNC Symbol;Acc:HGNC:28625]	protein_coding
RBM12B-AS1	8	RBM12B-AS1	RBM12B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:28818]	TEC
C8orf44	8	C8orf44	chromosome 8 open reading frame 44 [Source:HGNC Symbol;Acc:HGNC:25646]	lncRNA
MCMDC2	8	MCMDC2	minichromosome maintenance domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26368]	protein_coding
C8orf48	8	C8orf48	chromosome 8 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:26345]	protein_coding
RHPN1-AS1	8	RHPN1-AS1	RHPN1 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:28457]	lncRNA
C8orf58	8	C8orf58	chromosome 8 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:32233]	protein_coding
LINC00588	8	LINC00588	long intergenic non-protein coding RNA 588 [Source:HGNC Symbol;Acc:HGNC:24494]	lncRNA
C8orf74	8	C8orf74	chromosome 8 open reading frame 74 [Source:HGNC Symbol;Acc:HGNC:32296]	protein_coding
C8orf76	8	C8orf76	chromosome 8 open reading frame 76 [Source:HGNC Symbol;Acc:HGNC:25924]	protein_coding
ZNF252P-AS1	8	ZNF252P-AS1	ZNF252P antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27821]	lncRNA
NUGGC	8	NUGGC	nuclear GTPase, germinal center associated [Source:HGNC Symbol;Acc:HGNC:33550]	protein_coding
C8orf82	8	C8orf82	chromosome 8 open reading frame 82 [Source:HGNC Symbol;Acc:HGNC:33826]	protein_coding
TRIQK	8	TRIQK	triple QxxK/R motif containing [Source:HGNC Symbol;Acc:HGNC:27828]	protein_coding
SBSPON	8	SBSPON	somatomedin B and thrombospondin type 1 domain containing [Source:HGNC Symbol;Acc:HGNC:30362]	protein_coding
AARD	8	AARD	alanine and arginine rich domain containing protein [Source:HGNC Symbol;Acc:HGNC:33842]	protein_coding
C8orf86	8	C8orf86	chromosome 8 open reading frame 86 [Source:HGNC Symbol;Acc:HGNC:33774]	lncRNA
C9	5	C9	complement C9 [Source:HGNC Symbol;Acc:HGNC:1358]	protein_coding
ARHGEF39	9	ARHGEF39	Rho guanine nucleotide exchange factor 39 [Source:HGNC Symbol;Acc:HGNC:25909]	protein_coding
ERCC6L2	9	ERCC6L2	ERCC excision repair 6 like 2 [Source:HGNC Symbol;Acc:HGNC:26922]	protein_coding
IDNK	9	IDNK	IDNK gluconokinase [Source:HGNC Symbol;Acc:HGNC:31367]	protein_coding
EQTN	9	EQTN	equatorin [Source:HGNC Symbol;Acc:HGNC:1359]	protein_coding
FAM221B	9	FAM221B	family with sequence similarity 221 member B [Source:HGNC Symbol;Acc:HGNC:30762]	protein_coding
C9orf129	9	C9orf129	chromosome 9 open reading frame 129 [Source:HGNC Symbol;Acc:HGNC:31116]	transcribed_unprocessed_pseudogene
C9orf131	9	C9orf131	chromosome 9 open reading frame 131 [Source:HGNC Symbol;Acc:HGNC:31418]	protein_coding
SAPCD2	9	SAPCD2	suppressor APC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28055]	protein_coding
LINC00583	9	LINC00583	long intergenic non-protein coding RNA 583 [Source:HGNC Symbol;Acc:HGNC:31437]	lncRNA
LURAP1L	9	LURAP1L	leucine rich adaptor protein 1 like [Source:HGNC Symbol;Acc:HGNC:31452]	protein_coding
C9orf152	9	C9orf152	chromosome 9 open reading frame 152 [Source:HGNC Symbol;Acc:HGNC:31455]	protein_coding
C9orf153	9	C9orf153	chromosome 9 open reading frame 153 [Source:HGNC Symbol;Acc:HGNC:31456]	protein_coding
C9orf163	9	C9orf163	chromosome 9 putative open reading frame 163 [Source:HGNC Symbol;Acc:HGNC:26718]	lncRNA
C9orf24	9	C9orf24	chromosome 9 open reading frame 24 [Source:HGNC Symbol;Acc:HGNC:19919]	protein_coding
FAM219A	9	FAM219A	family with sequence similarity 219 member A [Source:HGNC Symbol;Acc:HGNC:19920]	protein_coding
LRRC37A5P	9	LRRC37A5P	leucine rich repeat containing 37 member A5, pseudogene [Source:HGNC Symbol;Acc:HGNC:23369]	transcribed_unprocessed_pseudogene
FRRS1L	9	FRRS1L	ferric chelate reductase 1 like [Source:HGNC Symbol;Acc:HGNC:1362]	protein_coding
C9orf43	9	C9orf43	chromosome 9 open reading frame 43 [Source:HGNC Symbol;Acc:HGNC:23570]	protein_coding
PLGRKT	9	PLGRKT	plasminogen receptor with a C-terminal lysine [Source:HGNC Symbol;Acc:HGNC:23633]	protein_coding
TMEM245	9	TMEM245	transmembrane protein 245 [Source:HGNC Symbol;Acc:HGNC:1363]	protein_coding
C9orf50	9	C9orf50	chromosome 9 open reading frame 50 [Source:HGNC Symbol;Acc:HGNC:23677]	protein_coding
C9orf57	9	C9orf57	chromosome 9 open reading frame 57 [Source:HGNC Symbol;Acc:HGNC:27037]	protein_coding
C9orf64	9	C9orf64	chromosome 9 open reading frame 64 [Source:HGNC Symbol;Acc:HGNC:28144]	protein_coding
SPATA6L	9	SPATA6L	spermatogenesis associated 6 like [Source:HGNC Symbol;Acc:HGNC:25472]	protein_coding
CACFD1	9	CACFD1	calcium channel flower domain containing 1 [Source:HGNC Symbol;Acc:HGNC:1365]	protein_coding
TMEM252	9	TMEM252	transmembrane protein 252 [Source:HGNC Symbol;Acc:HGNC:28537]	protein_coding
C9orf72	9	C9orf72	C9orf72-SMCR8 complex subunit [Source:HGNC Symbol;Acc:HGNC:28337]	protein_coding
C9orf78	9	C9orf78	chromosome 9 open reading frame 78 [Source:HGNC Symbol;Acc:HGNC:24932]	protein_coding
SPATA31E1	9	SPATA31E1	SPATA31 subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:26672]	protein_coding
